StockItemID|StockItemName|SupplierID|ColorID|UnitPackageID|OuterPackageID|Brand|Size|LeadTimeDays|QuantityPerOuter|IsChillerStock|Barcode|TaxRate|UnitPrice|RecommendedRetailPrice|TypicalWeightPerUnit|MarketingComments|InternalComments|Photo|SearchDetails
32|Developer joke mug - that's a hardware problem (White)|5|35|7|7|||12|1|FALSE||15|13|19.44|0.15||||Developer joke mug - that's a hardware problem (White) 
33|Developer joke mug - that's a hardware problem (Black)|5|3|7|7|||12|1|FALSE||15|13|19.44|0.15||||Developer joke mug - that's a hardware problem (Black) 
34|Developer joke mug - fun was unexpected at this time (White)|5|35|7|7|||12|1|FALSE||15|13|19.44|0.15||||Developer joke mug - fun was unexpected at this time (White) 
35|Developer joke mug - fun was unexpected at this time (Black)|5|3|7|7|||12|1|FALSE||15|13|19.44|0.15||||Developer joke mug - fun was unexpected at this time (Black) 
36|Developer joke mug - when your hammer is C++ (White)|5|35|7|7|||12|1|FALSE||15|13|19.44|0.15||||Developer joke mug - when your hammer is C++ (White) 
37|Developer joke mug - when your hammer is C++ (Black)|5|3|7|7|||12|1|FALSE||15|13|19.44|0.15||||Developer joke mug - when your hammer is C++ (Black) 
38|Developer joke mug - inheritance is the OO way to become wealthy (White)|5|35|7|7|||12|1|FALSE||15|13|19.44|0.15||||Developer joke mug - inheritance is the OO way to become wealthy (White) 
39|Developer joke mug - inheritance is the OO way to become wealthy (Black)|5|3|7|7|||12|1|FALSE||15|13|19.44|0.15||||Developer joke mug - inheritance is the OO way to become wealthy (Black) 
40|Developer joke mug - (hip, hip, array) (White)|5|35|7|7|||12|1|FALSE||15|13|19.44|0.15||||Developer joke mug - (hip, hip, array) (White) 
41|Developer joke mug - (hip, hip, array) (Black)|5|3|7|7|||12|1|FALSE||15|13|19.44|0.15||||Developer joke mug - (hip, hip, array) (Black) 
42|Developer joke mug - understanding recursion requires understanding recursion (White)|5|35|7|7|||12|1|FALSE||15|13|19.44|0.15||||Developer joke mug - understanding recursion requires understanding recursion (White) 
43|Developer joke mug - understanding recursion requires understanding recursion (Black)|5|3|7|7|||12|1|FALSE||15|13|19.44|0.15||||Developer joke mug - understanding recursion requires understanding recursion (Black) 
44|Developer joke mug - there are 10 types of people in the world (White)|5|35|7|7|||12|1|FALSE||15|13|19.44|0.15||||Developer joke mug - there are 10 types of people in the world (White) 
45|Developer joke mug - there are 10 types of people in the world (Black)|5|3|7|7|||12|1|FALSE||15|13|19.44|0.15||||Developer joke mug - there are 10 types of people in the world (Black) 
46|Developer joke mug - a foo walks into a bar (White)|5|35|7|7|||12|1|FALSE||15|13|19.44|0.15||||Developer joke mug - a foo walks into a bar (White) 
47|Developer joke mug - a foo walks into a bar (Black)|5|3|7|7|||12|1|FALSE||15|13|19.44|0.15||||Developer joke mug - a foo walks into a bar (Black) 
48|Developer joke mug - this code was generated by a tool (White)|5|35|7|7|||12|1|FALSE||15|13|19.44|0.15||||Developer joke mug - this code was generated by a tool (White) 
49|Developer joke mug - this code was generated by a tool (Black)|5|3|7|7|||12|1|FALSE||15|13|19.44|0.15||||Developer joke mug - this code was generated by a tool (Black) 
50|Developer joke mug - old C developers never die (White)|5|35|7|7|||12|1|FALSE||15|13|19.44|0.15||||Developer joke mug - old C developers never die (White) 
51|Developer joke mug - old C developers never die (Black)|5|3|7|7|||12|1|FALSE||15|13|19.44|0.15||||Developer joke mug - old C developers never die (Black) 
52|IT joke mug - keyboard not found … press F1 to continue (White)|5|35|7|7|||12|1|FALSE||15|13|19.44|0.15||||IT joke mug - keyboard not found … press F1 to continue (White) 
53|IT joke mug - keyboard not found … press F1 to continue (Black)|5|3|7|7|||12|1|FALSE||15|13|19.44|0.15||||IT joke mug - keyboard not found … press F1 to continue (Black) 
54|IT joke mug - that behavior is by design (White)|5|35|7|7|||12|1|FALSE||15|13|19.44|0.15||||IT joke mug - that behavior is by design (White) 
55|IT joke mug - that behavior is by design (Black)|5|3|7|7|||12|1|FALSE||15|13|19.44|0.15||||IT joke mug - that behavior is by design (Black) 
56|IT joke mug - hardware: part of the computer that can be kicked (White)|5|35|7|7|||12|1|FALSE||15|13|19.44|0.15||||IT joke mug - hardware: part of the computer that can be kicked (White) 
57|IT joke mug - hardware: part of the computer that can be kicked (Black)|5|3|7|7|||12|1|FALSE||15|13|19.44|0.15||||IT joke mug - hardware: part of the computer that can be kicked (Black) 
58|RC toy sedan car with remote control (Black) 1/50 scale|10|3|7|7|Northwind|1/50 scale|14|1|FALSE||15|25|37.38|1.5||||RC toy sedan car with remote control (Black) 1/50 scale 
59|RC toy sedan car with remote control (Red) 1/50 scale|10|28|7|7|Northwind|1/50 scale|14|1|FALSE||15|25|37.38|1.5||||RC toy sedan car with remote control (Red) 1/50 scale 
60|RC toy sedan car with remote control (Blue) 1/50 scale|10|4|7|7|Northwind|1/50 scale|14|1|FALSE||15|25|37.38|1.5||||RC toy sedan car with remote control (Blue) 1/50 scale 
61|RC toy sedan car with remote control (Green) 1/50 scale|10||7|7|Northwind|1/50 scale|14|1|FALSE||15|25|37.38|1.5||||RC toy sedan car with remote control (Green) 1/50 scale 
62|RC toy sedan car with remote control (Yellow) 1/50 scale|10|36|7|7|Northwind|1/50 scale|14|1|FALSE||15|25|37.38|1.5||||RC toy sedan car with remote control (Yellow) 1/50 scale 
63|RC toy sedan car with remote control (Pink) 1/50 scale|10||7|7|Northwind|1/50 scale|14|1|FALSE||15|25|37.38|1.5||||RC toy sedan car with remote control (Pink) 1/50 scale 
64|RC vintage American toy coupe with remote control (Red) 1/50 scale|10|28|7|7|Northwind|1/50 scale|14|1|FALSE||15|30|44.85|1.7||||RC vintage American toy coupe with remote control (Red) 1/50 scale 
65|RC vintage American toy coupe with remote control (Black) 1/50 scale|10|3|7|7|Northwind|1/50 scale|14|1|FALSE||15|30|44.85|1.7||||RC vintage American toy coupe with remote control (Black) 1/50 scale 
66|RC big wheel monster truck with remote control (Black) 1/50 scale|10|3|7|7|Northwind|1/50 scale|14|1|FALSE||15|45|67.28|1.8||||RC big wheel monster truck with remote control (Black) 1/50 scale 
67|Ride on toy sedan car (Black) 1/12 scale|10|3|7|7|Northwind|1/12 scale|14|1|FALSE||15|230|343.85|15|Suits child to 20 kg|||Ride on toy sedan car (Black) 1/12 scale Suits child to 20 kg
68|Ride on toy sedan car (Red) 1/12 scale|10|28|7|7|Northwind|1/12 scale|14|1|FALSE||15|230|343.85|15|Suits child to 20 kg|||Ride on toy sedan car (Red) 1/12 scale Suits child to 20 kg
69|Ride on toy sedan car (Blue) 1/12 scale|10|4|7|7|Northwind|1/12 scale|14|1|FALSE||15|230|343.85|15|Suits child to 20 kg|||Ride on toy sedan car (Blue) 1/12 scale Suits child to 20 kg
70|Ride on toy sedan car (Green) 1/12 scale|10||7|7|Northwind|1/12 scale|14|1|FALSE||15|230|343.85|15|Suits child to 20 kg|||Ride on toy sedan car (Green) 1/12 scale Suits child to 20 kg
71|Ride on toy sedan car (Yellow) 1/12 scale|10|36|7|7|Northwind|1/12 scale|14|1|FALSE||15|230|343.85|15|Suits child to 20 kg|||Ride on toy sedan car (Yellow) 1/12 scale Suits child to 20 kg
72|Ride on toy sedan car (Pink) 1/12 scale|10||7|7|Northwind|1/12 scale|14|1|FALSE||15|230|343.85|15|Suits child to 20 kg|||Ride on toy sedan car (Pink) 1/12 scale Suits child to 20 kg
73|Ride on vintage American toy coupe (Red) 1/12 scale|10|28|7|7|Northwind|1/12 scale|14|1|FALSE||15|285|426.08|18|Suits child to 20 kg|||Ride on vintage American toy coupe (Red) 1/12 scale Suits child to 20 kg
74|Ride on vintage American toy coupe (Black) 1/12 scale|10|3|7|7|Northwind|1/12 scale|14|1|FALSE||15|285|426.08|18|Suits child to 20 kg|||Ride on vintage American toy coupe (Black) 1/12 scale Suits child to 20 kg
75|Ride on big wheel monster truck (Black) 1/12 scale|10|3|7|7|Northwind|1/12 scale|14|1|FALSE||15|345|515.78|21|Suits child to 20 kg|||Ride on big wheel monster truck (Black) 1/12 scale Suits child to 20 kg
76|"\The Gu\"" red shirt XML tag t-shirt (White) 3XS"""|4|35|7|6||3XS|7|12|FALSE||15|18|26.91|0.25||||"\The Gu\"" red shirt XML tag t-shirt (White) 3XS """
77|"\The Gu\"" red shirt XML tag t-shirt (White) XXS"""|4|35|7|6||XXS|7|12|FALSE||15|18|26.91|0.25||||"\The Gu\"" red shirt XML tag t-shirt (White) XXS """
78|"\The Gu\"" red shirt XML tag t-shirt (White) XS"""|4|35|7|6||XS|7|12|FALSE||15|18|26.91|0.25||||"\The Gu\"" red shirt XML tag t-shirt (White) XS """
79|"\The Gu\"" red shirt XML tag t-shirt (White) S"""|4|35|7|6||S|7|12|FALSE||15|18|26.91|0.3||||"\The Gu\"" red shirt XML tag t-shirt (White) S """
80|"\The Gu\"" red shirt XML tag t-shirt (White) M"""|4|35|7|6||M|7|12|FALSE||15|18|26.91|0.35||||"\The Gu\"" red shirt XML tag t-shirt (White) M """
81|"\The Gu\"" red shirt XML tag t-shirt (White) L"""|4|35|7|6||L|7|12|FALSE||15|18|26.91|0.35||||"\The Gu\"" red shirt XML tag t-shirt (White) L """
82|"\The Gu\"" red shirt XML tag t-shirt (White) XL"""|4|35|7|6||XL|7|12|FALSE||15|18|26.91|0.35||||"\The Gu\"" red shirt XML tag t-shirt (White) XL """
83|"\The Gu\"" red shirt XML tag t-shirt (White) XXL"""|4|35|7|6||XXL|7|12|FALSE||15|18|26.91|0.4||||"\The Gu\"" red shirt XML tag t-shirt (White) XXL """
84|"\The Gu\"" red shirt XML tag t-shirt (White) 3XL"""|4|35|7|6||3XL|7|12|FALSE||15|18|26.91|0.4||||"\The Gu\"" red shirt XML tag t-shirt (White) 3XL """
85|"\The Gu\"" red shirt XML tag t-shirt (White) 4XL"""|4|35|7|6||4XL|7|12|FALSE||15|18|26.91|0.4||||"\The Gu\"" red shirt XML tag t-shirt (White) 4XL """
86|"\The Gu\"" red shirt XML tag t-shirt (White) 5XL"""|4|35|7|6||5XL|7|12|FALSE||15|18|26.91|0.4||||"\The Gu\"" red shirt XML tag t-shirt (White) 5XL """
87|"\The Gu\"" red shirt XML tag t-shirt (White) 6XL"""|4|35|7|6||6XL|7|12|FALSE||15|18|26.91|0.4||||"\The Gu\"" red shirt XML tag t-shirt (White) 6XL """
88|"\The Gu\"" red shirt XML tag t-shirt (White) 7XL"""|4|35|7|6||7XL|7|12|FALSE||15|18|26.91|0.45||||"\The Gu\"" red shirt XML tag t-shirt (White) 7XL """
89|"\The Gu\"" red shirt XML tag t-shirt (Black) 3XS"""|4|3|7|6||3XS|7|12|FALSE||15|18|26.91|0.25||||"\The Gu\"" red shirt XML tag t-shirt (Black) 3XS """
90|"\The Gu\"" red shirt XML tag t-shirt (Black) XXS"""|4|3|7|6||XXS|7|12|FALSE||15|18|26.91|0.25||||"\The Gu\"" red shirt XML tag t-shirt (Black) XXS """
91|"\The Gu\"" red shirt XML tag t-shirt (Black) XS"""|4|3|7|6||XS|7|12|FALSE||15|18|26.91|0.25||||"\The Gu\"" red shirt XML tag t-shirt (Black) XS """
92|"\The Gu\"" red shirt XML tag t-shirt (Black) S"""|4|3|7|6||S|7|12|FALSE||15|18|26.91|0.3||||"\The Gu\"" red shirt XML tag t-shirt (Black) S """
93|"\The Gu\"" red shirt XML tag t-shirt (Black) M"""|4|3|7|6||M|7|12|FALSE||15|18|26.91|0.35||||"\The Gu\"" red shirt XML tag t-shirt (Black) M """
94|"\The Gu\"" red shirt XML tag t-shirt (Black) L"""|4|3|7|6||L|7|12|FALSE||15|18|26.91|0.35||||"\The Gu\"" red shirt XML tag t-shirt (Black) L """
95|"\The Gu\"" red shirt XML tag t-shirt (Black) XL"""|4|3|7|6||XL|7|12|FALSE||15|18|26.91|0.35||||"\The Gu\"" red shirt XML tag t-shirt (Black) XL """
96|"\The Gu\"" red shirt XML tag t-shirt (Black) XXL"""|4|3|7|6||XXL|7|12|FALSE||15|18|26.91|0.4||||"\The Gu\"" red shirt XML tag t-shirt (Black) XXL """
97|"\The Gu\"" red shirt XML tag t-shirt (Black) 3XL"""|4|3|7|6||3XL|7|12|FALSE||15|18|26.91|0.4||||"\The Gu\"" red shirt XML tag t-shirt (Black) 3XL """
98|"\The Gu\"" red shirt XML tag t-shirt (Black) 4XL"""|4|3|7|6||4XL|7|12|FALSE||15|18|26.91|0.4||||"\The Gu\"" red shirt XML tag t-shirt (Black) 4XL """
99|"\The Gu\"" red shirt XML tag t-shirt (Black) 5XL"""|4|3|7|6||5XL|7|12|FALSE||15|18|26.91|0.4||||"\The Gu\"" red shirt XML tag t-shirt (Black) 5XL """
100|"\The Gu\"" red shirt XML tag t-shirt (Black) 6XL"""|4|3|7|6||6XL|7|12|FALSE||15|18|26.91|0.4||||"\The Gu\"" red shirt XML tag t-shirt (Black) 6XL """
101|"\The Gu\"" red shirt XML tag t-shirt (Black) 7XL"""|4|3|7|6||7XL|7|12|FALSE||15|18|26.91|0.45||||"\The Gu\"" red shirt XML tag t-shirt (Black) 7XL """
102|Alien officer hoodie (Black) XL|4|3|7|7||XL|12|1|FALSE||15|35|52.33|0.4||||Alien officer hoodie (Black) XL 
103|Alien officer hoodie (Black) XXL|4|3|7|7||XXL|12|1|FALSE||15|35|52.33|0.4||||Alien officer hoodie (Black) XXL 
104|Alien officer hoodie (Black) 3XL|4|3|7|7||3XL|12|1|FALSE||15|35|52.33|0.4||||Alien officer hoodie (Black) 3XL 
105|Alien officer hoodie (Black) 4XL|4|3|7|7||4XL|12|1|FALSE||15|35|52.33|0.4||||Alien officer hoodie (Black) 4XL 
106|Alien officer hoodie (Black) 5XL|4|3|7|7||5XL|12|1|FALSE||15|35|52.33|0.4||||Alien officer hoodie (Black) 5XL 
107|Superhero action jacket (Blue) 3XS|4|4|7|7||3XS|12|1|FALSE||15|25|37.38|0.3||||Superhero action jacket (Blue) 3XS 
108|Superhero action jacket (Blue) XXS|4|4|7|7||XXS|12|1|FALSE||15|25|37.38|0.3||||Superhero action jacket (Blue) XXS 
109|Superhero action jacket (Blue) XS|4|4|7|7||XS|12|1|FALSE||15|25|37.38|0.3||||Superhero action jacket (Blue) XS 
110|Superhero action jacket (Blue) S|4|4|7|7||S|12|1|FALSE||15|25|37.38|0.3||||Superhero action jacket (Blue) S 
111|Superhero action jacket (Blue) M|4|4|7|7||M|12|1|FALSE||15|30|44.85|0.35||||Superhero action jacket (Blue) M 
112|Superhero action jacket (Blue) L|4|4|7|7||L|12|1|FALSE||15|30|44.85|0.35||||Superhero action jacket (Blue) L 
113|Superhero action jacket (Blue) XL|4|4|7|7||XL|12|1|FALSE||15|30|44.85|0.35||||Superhero action jacket (Blue) XL 
114|Superhero action jacket (Blue) XXL|4|4|7|7||XXL|12|1|FALSE||15|30|44.85|0.35||||Superhero action jacket (Blue) XXL 
115|Superhero action jacket (Blue) 3XL|4|4|7|7||3XL|12|1|FALSE||15|34|50.83|0.4||||Superhero action jacket (Blue) 3XL 
116|Superhero action jacket (Blue) 4XL|4|4|7|7||4XL|12|1|FALSE||15|34|50.83|0.4||||Superhero action jacket (Blue) 4XL 
117|Superhero action jacket (Blue) 5XL|4|4|7|7||5XL|12|1|FALSE||15|34|50.83|0.4||||Superhero action jacket (Blue) 5XL 
118|Dinosaur battery-powered slippers (Green) S|4||7|7||S|12|1|FALSE||15|32|47.84|0.35|Realistic sound of undergrowth being trampled while walking|||Dinosaur battery-powered slippers (Green) S Realistic sound of undergrowth being trampled while walking
119|Dinosaur battery-powered slippers (Green) M|4||7|7||M|12|1|FALSE||15|32|47.84|0.35|Realistic sound of undergrowth being trampled while walking|||Dinosaur battery-powered slippers (Green) M Realistic sound of undergrowth being trampled while walking
120|Dinosaur battery-powered slippers (Green) L|4||7|7||L|12|1|FALSE||15|32|47.84|0.35|Realistic sound of undergrowth being trampled while walking|||Dinosaur battery-powered slippers (Green) L Realistic sound of undergrowth being trampled while walking
121|Dinosaur battery-powered slippers (Green) XL|4||7|7||XL|12|1|FALSE||15|32|47.84|0.4|Realistic sound of undergrowth being trampled while walking|||Dinosaur battery-powered slippers (Green) XL Realistic sound of undergrowth being trampled while walking
122|Ogre battery-powered slippers (Green) S|4||7|7||S|12|1|FALSE||15|32|47.84|0.35|Realistic heavy walking sound|||Ogre battery-powered slippers (Green) S Realistic heavy walking sound
123|Ogre battery-powered slippers (Green) M|4||7|7||M|12|1|FALSE||15|32|47.84|0.35|Realistic heavy walking sound|||Ogre battery-powered slippers (Green) M Realistic heavy walking sound
124|Ogre battery-powered slippers (Green) L|4||7|7||L|12|1|FALSE||15|32|47.84|0.35|Realistic heavy walking sound|||Ogre battery-powered slippers (Green) L Realistic heavy walking sound
125|Ogre battery-powered slippers (Green) XL|4||7|7||XL|12|1|FALSE||15|32|47.84|0.4|Realistic heavy walking sound|||Ogre battery-powered slippers (Green) XL Realistic heavy walking sound
126|Plush shark slippers (Gray) S|4|12|7|7||S|12|1|FALSE||15|32|47.84|0.35||||Plush shark slippers (Gray) S 
127|Plush shark slippers (Gray) M|4|12|7|7||M|12|1|FALSE||15|32|47.84|0.35||||Plush shark slippers (Gray) M 
128|Plush shark slippers (Gray) L|4|12|7|7||L|12|1|FALSE||15|32|47.84|0.35||||Plush shark slippers (Gray) L 
129|Plush shark slippers (Gray) XL|4|12|7|7||XL|12|1|FALSE||15|32|47.84|0.4||||Plush shark slippers (Gray) XL 
130|Furry gorilla with big eyes slippers (Black) S|4|3|7|7||S|12|1|FALSE||15|32|47.84|0.35||||Furry gorilla with big eyes slippers (Black) S 
131|Furry gorilla with big eyes slippers (Black) M|4|3|7|7||M|12|1|FALSE||15|32|47.84|0.35||||Furry gorilla with big eyes slippers (Black) M 
132|Furry gorilla with big eyes slippers (Black) L|4|3|7|7||L|12|1|FALSE||15|32|47.84|0.35||||Furry gorilla with big eyes slippers (Black) L 
133|Furry gorilla with big eyes slippers (Black) XL|4|3|7|7||XL|12|1|FALSE||15|32|47.84|0.4||||Furry gorilla with big eyes slippers (Black) XL 
134|Animal with big feet slippers (Brown) S|4||7|7||S|12|1|FALSE||15|32|47.84|0.35||||Animal with big feet slippers (Brown) S 
135|Animal with big feet slippers (Brown) M|4||7|7||M|12|1|FALSE||15|32|47.84|0.35||||Animal with big feet slippers (Brown) M 
136|Animal with big feet slippers (Brown) L|4||7|7||L|12|1|FALSE||15|32|47.84|0.35||||Animal with big feet slippers (Brown) L 
137|Animal with big feet slippers (Brown) XL|4||7|7||XL|12|1|FALSE||15|32|47.84|0.4||||Animal with big feet slippers (Brown) XL 
138|Furry animal socks (Pink) S|4||10|9||S|12|12|FALSE||15|5|7.48|0.1||||Furry animal socks (Pink) S 
139|Furry animal socks (Pink) M|4||10|9||M|12|12|FALSE||15|5|7.48|0.1||||Furry animal socks (Pink) M 
140|Furry animal socks (Pink) L|4||10|9||L|12|12|FALSE||15|5|7.48|0.1||||Furry animal socks (Pink) L 
141|Furry animal socks (Pink) XL|4||10|9||XL|12|12|FALSE||15|5|7.48|0.1||||Furry animal socks (Pink) XL 
142|Halloween zombie mask (Light Brown) S|4|18|7|6||S|12|12|FALSE||15|18|26.91|0.3||||Halloween zombie mask (Light Brown) S 
143|Halloween zombie mask (Light Brown) M|4|18|7|6||M|12|12|FALSE||15|18|26.91|0.3||||Halloween zombie mask (Light Brown) M 
144|Halloween zombie mask (Light Brown) L|4|18|7|6||L|12|12|FALSE||15|18|26.91|0.3||||Halloween zombie mask (Light Brown) L 
145|Halloween zombie mask (Light Brown) XL|4|18|7|6||XL|12|12|FALSE||15|18|26.91|0.3||||Halloween zombie mask (Light Brown) XL 
146|Halloween skull mask (Gray) S|4|12|7|6||S|12|12|FALSE||15|18|26.91|0.3||||Halloween skull mask (Gray) S 
147|Halloween skull mask (Gray) M|4|12|7|6||M|12|12|FALSE||15|18|26.91|0.3||||Halloween skull mask (Gray) M 
148|Halloween skull mask (Gray) L|4|12|7|6||L|12|12|FALSE||15|18|26.91|0.3||||Halloween skull mask (Gray) L 
149|Halloween skull mask (Gray) XL|4|12|7|6||XL|12|12|FALSE||15|18|26.91|0.3||||Halloween skull mask (Gray) XL 
150|Pack of 12 action figures (variety)|2||9|9|||2|1|FALSE||15|16|23.92|0.25||||Pack of 12 action figures (variety) 
151|Pack of 12 action figures (male)|2||9|9|||2|1|FALSE||15|16|23.92|0.25||||Pack of 12 action figures (male) 
152|Pack of 12 action figures (female)|2||9|9|||2|1|FALSE||15|16|23.92|0.25||||Pack of 12 action figures (female) 
153|Small sized bubblewrap roll 10m|7||7|7||10m|14|10|FALSE||15|4.5|6.73|5||||Small sized bubblewrap roll 10m 
154|Medium sized bubblewrap roll 20m|7||7|7||20m|14|10|FALSE||15|20|29.9|6||||Medium sized bubblewrap roll 20m 
155|Large sized bubblewrap roll 50m|7||7|7||50m|14|10|FALSE||15|24|35.88|10||||Large sized bubblewrap roll 50m 
156|10 mm Double sided bubble wrap 10m|7||7|7||10m|14|10|FALSE||15|15|22.43|5||||10 mm Double sided bubble wrap 10m 
157|10 mm Double sided bubble wrap 20m|7||7|7||20m|14|10|FALSE||15|30|44.85|6||||10 mm Double sided bubble wrap 20m 
158|10 mm Double sided bubble wrap 50m|7||7|7||50m|14|10|FALSE||15|105|156.98|10||||10 mm Double sided bubble wrap 50m 
159|20 mm Double sided bubble wrap 10m|7||7|7||10m|14|10|FALSE||15|18|26.91|5||||20 mm Double sided bubble wrap 10m 
160|20 mm Double sided bubble wrap 20m|7||7|7||20m|14|10|FALSE||15|33|49.34|6||||20 mm Double sided bubble wrap 20m 
161|20 mm Double sided bubble wrap 50m|7||7|7||50m|14|10|FALSE||15|108|161.46|10||||20 mm Double sided bubble wrap 50m 
162|32 mm Double sided bubble wrap 10m|7||7|7||10m|14|10|FALSE||15|22|32.89|5||||32 mm Double sided bubble wrap 10m 
163|32 mm Double sided bubble wrap 20m|7||7|7||20m|14|10|FALSE||15|37|55.32|6||||32 mm Double sided bubble wrap 20m 
164|32 mm Double sided bubble wrap 50m|7||7|7||50m|14|10|FALSE||15|112|167.44|10||||32 mm Double sided bubble wrap 50m 
165|10 mm Anti static bubble wrap (Blue) 10m|7|4|7|7||10m|14|10|FALSE||15|26|38.87|5||||10 mm Anti static bubble wrap (Blue) 10m 
166|10 mm Anti static bubble wrap (Blue) 20m|7|4|7|7||20m|14|10|FALSE||15|42|62.79|6||||10 mm Anti static bubble wrap (Blue) 20m 
167|10 mm Anti static bubble wrap (Blue) 50m|7|4|7|7||50m|14|10|FALSE||15|99|148.01|10||||10 mm Anti static bubble wrap (Blue) 50m 
168|20 mm Anti static bubble wrap (Blue) 10m|7|4|7|7||10m|14|10|FALSE||15|29|43.36|5||||20 mm Anti static bubble wrap (Blue) 10m 
169|20 mm Anti static bubble wrap (Blue) 20m|7|4|7|7||20m|14|10|FALSE||15|45|67.28|6||||20 mm Anti static bubble wrap (Blue) 20m 
170|20 mm Anti static bubble wrap (Blue) 50m|7|4|7|7||50m|14|10|FALSE||15|102|152.49|10||||20 mm Anti static bubble wrap (Blue) 50m 
